t,x,y,z,vx,vy,vz,qw,qx,qy,qz,wbx,wby,wbz,Fx,Fy,Fz,Tx,Ty,Tz
0.966666667,4.97460936,5.00013246,5.00113973,-0.020728356,0.000259392013,0.0010439734,0.99005771,-0.000197290753,0.140661042,-0.000402894127,-0.000681364452,0.0412075976,-0.00149067323,0.0271569794,1.10193539e-05,1.69886632,-0.000312853996,-0.0140008665,-9.60803729e-05
0.983333333,4.97427109,5.00013678,5.00115638,-0.0202961393,0.000259567391,0.000998937265,0.990011961,-0.000204906708,0.140982632,-0.000414650138,-0.000723025885,0.0389792621,-0.00151984613,0.0269594378,-0.00193184029,1.70072111,-0.000395669394,-0.0132296301,-0.000114168731
1,4.97393997,5.0001406,5.00117277,-0.0198670665,0.000228821198,0.000983421145,0.989968587,-0.000213013551,0.141286837,-0.000426633597,-0.000776572665,0.0368736634,-0.00155548121,0.0267335816,-0.000997109882,1.70302976,-0.000389385433,-0.0128605503,-0.000373197385
1.01666667,4.97361595,5.00014415,5.00118951,-0.0194415883,0.000212951701,0.00100464822,0.989927533,-0.000221554424,0.141574143,-0.000439183619,-0.000817603472,0.0348268278,-0.00163045875,0.0273381661,0.000829558546,1.70279912,0.000627500287,-0.0125697266,-0.000507685256
1.03333333,4.97329917,5.00014792,5.00120655,-0.0190064879,0.000226154536,0.00102220465,0.98988876,-0.000229168765,0.141844935,-0.000452286032,-0.000697224065,0.0328264207,-0.00168065595,0.0282740584,0.000790661949,1.70189917,0.000719414296,-0.0106410746,-0.000115860846
1.05,4.9729899,5.0001519,5.00122364,-0.0185564923,0.000238738311,0.00102543781,0.989851919,-0.000235810404,0.142101747,-0.000465408416,-0.000580528307,0.0311329478,-0.00166675123,0.0258072006,-0.000275749849,1.70139336,0.000504567137,-0.0100008658,0.000269902384
1.06666667,4.97268747,5.0001558,5.00124065,-0.018145758,0.000234349616,0.00102062089,0.989816899,-0.000241834311,0.142345421,-0.000478084467,-0.000513978368,0.0295413043,-0.0016034711,0.0261062212,0.00177720063,1.7018985,-8.30926342e-05,-0.00916340467,-0.000530026798
1.08333333,4.97239196,5.00016018,5.00125771,-0.0177302645,0.000262634643,0.00102384337,0.989783552,-0.000247861412,0.142577057,-0.000491474928,-0.000501415441,0.0280829442,-0.00168863527,0.0250688057,0.000454441936,1.69949713,0.000240535436,-0.0102017793,0.000463811882
1.1,4.97210311,5.00016468,5.00127419,-0.0173312821,0.000269867311,0.000988846922,0.989752083,-0.000253653796,0.142795294,-0.000504214368,-0.000483829473,0.0264592696,-0.00160758274,0.0232558409,0.000569807962,1.70087838,1.58472122e-05,-0.00825246981,7.71056627e-05
1.11666667,4.97182042,5.00016933,5.00129046,-0.0169611539,0.000278936086,0.000975833697,0.989722131,-0.00025943445,0.14300269,-0.000516852342,-0.000483472881,0.0251458435,-0.00159556888,0.0259078028,0.00161700239,1.70133175,0.000231990009,-0.00832387557,0.000601160564
1.13333333,4.97154461,5.0001744,5.00130662,-0.0165488184,0.000304671478,0.000970036115,0.989693716,-0.000265018881,0.143199155,-0.00052866004,-0.000473690047,0.0238210302,-0.00149383741,0.0238814189,0.000695244994,1.69859677,0.000354472479,-0.00740324537,0.000328306991
1.15,4.97127513,5.00017967,5.00132197,-0.0161687338,0.000315736646,0.000920710086,0.989666671,-0.000270195176,0.143385896,-0.000539972054,-0.00043307592,0.0226427873,-0.00142817742,0.0248693803,-0.000296483747,1.69869447,0.000173474188,-0.00741379576,9.07749678e-05
1.16666667,4.97101225,5.00018485,5.00133652,-0.0157729253,0.000311017961,0.000872938963,0.989641003,-0.000275155715,0.143562902,-0.000551134567,-0.000409349655,0.0214628633,-0.00140693677,0.0229095607,-5.99662778e-05,1.70058028,-8.7635857e-05,-0.00714380679,-0.00022935917
1.18333333,4.97075544,5.00019002,5.00135077,-0.0154083084,0.000310063568,0.000855181365,0.989616664,-0.000280182379,0.143730526,-0.000562617403,-0.000411019748,0.0203259036,-0.00144633825,0.0229151025,-0.000630813067,1.70102393,-0.000559081982,-0.00672337983,-0.000336725289
1.2,4.97050472,5.00019502,5.00136485,-0.0150436032,0.000300023866,0.000844484688,0.989593579,-0.000285873636,0.143889322,-0.000574651257,-0.000479800706,0.0192557918,-0.00152344875,0.0231508238,-0.00140916068,1.70114977,-0.00024839173,-0.00626990529,0.000656291402
1.21666667,4.97026013,5.00019964,5.00137878,-0.0146751464,0.000277596377,0.000835790907,0.989571667,-0.000292011364,0.144039884,-0.000585873502,-0.000546225654,0.0182577881,-0.00143497981,0.0223168056,-0.000333040875,1.7022992,3.00098458e-05,-0.0056010392,-0.000303845348
1.23333333,4.97002146,5.00020418,5.00139287,-0.0143199634,0.000272295867,0.000845390788,0.989550802,-0.000298047301,0.144183092,-0.000597490954,-0.000526753192,0.017366397,-0.00148033481,0.0207980529,0.000824853302,1.70276345,-0.000129216898,-0.00493647975,2.99265954e-05
1.25,4.96978831,5.00020894,5.00140724,-0.0139889521,0.000285423815,0.000862379515,0.989530862,-0.000304254631,0.144319819,-0.00060909578,-0.000546826176,0.0165807064,-0.00148196638,0.0214157133,0.000977501345,1.7017586,-5.14494711e-05,-0.00420867196,-0.000255072504
1.26666667,4.96956085,5.00021396,5.00142163,-0.0136481104,0.000300981232,0.000863375573,0.989511708,-0.000310477254,0.144451019,-0.000621046899,-0.000542212302,0.0159108985,-0.00152349567,0.0215751932,0.000221868043,1.70173889,-0.000374286715,-0.00383263621,-0.000598254973
1.28333333,4.9693391,5.00021903,5.00143603,-0.0133047306,0.000304512372,0.000864057839,0.989493272,-0.000317073306,0.144577187,-0.000633856432,-0.000571272116,0.0153009238,-0.001632032,0.0202883672,0.000425847542,1.70171659,-0.000424535078,-0.00428507629,-0.000111974095
1.3,4.96912274,5.00022422,5.00145044,-0.0129818312,0.000311289946,0.000864385288,0.989475641,-0.000324201421,0.144697729,-0.000646896111,-0.000629997327,0.0146188693,-0.00166874316,0.0198873589,-0.00105460187,1.70287108,-0.000432083334,-0.00445998391,-5.66198191e-05
1.31666667,4.96891165,5.00022913,5.00146515,-0.012665314,0.000294505436,0.000883086935,0.989458851,-0.000331881875,0.144812415,-0.000660094925,-0.000692330119,0.0139089674,-0.00169739144,0.019357367,2.80270057e-05,1.70134413,-0.000361723079,-0.00385133097,0.000207889806
1.33333333,4.96870569,5.00023404,5.00147978,-0.012357232,0.0002949515,0.000877486432,0.989442789,-0.000340073575,0.144922045,-0.000673092083,-0.000756107615,0.013295912,-0.00168247581,0.0182763145,0.000347907636,1.70157975,-1.07725916e-05,-0.00380562946,0.000171770181
1.35,4.96850459,5.00023905,5.00149437,-0.0120663554,0.000300488622,0.000875635906,0.989427446,-0.000348309025,0.145026679,-0.000685867608,-0.000764723764,0.0126902021,-0.00165706721,0.019149578,-0.000100866702,1.70270317,-0.000288400953,-0.00391561468,0.000352705658
1.36666667,4.96830856,5.00024403,5.00150923,-0.0117615804,0.000298883278,0.000891665227,0.989412846,-0.000356987212,0.145126173,-0.000698237563,-0.000823894493,0.0120669059,-0.00161677212,0.0189240144,-0.00124489329,1.70068489,-0.000141077427,-0.00353990482,-0.000163597881
1.38333333,4.96811756,5.00024868,5.00152383,-0.0114603953,0.000279070186,0.000875572575,0.989398917,-0.000365815756,0.145221019,-0.000710851023,-0.000837087634,0.0115035082,-0.00164844465,0.0191953673,-0.000290118707,1.70060257,-0.000433856229,-0.00294723793,-9.05065102e-05
1.4,4.96793164,5.00025326,5.00153813,-0.0111548916,0.000274452803,0.000858169722,0.989385546,-0.000375193406,0.145311997,-0.000723668235,-0.000898376529,0.011034365,-0.00168232691,0.0173862608,-0.000471307746,1.70099167,-0.000276480034,-0.00276412423,0.000788393253
1.41666667,4.96775034,5.00025771,5.00155225,-0.0108781806,0.000266951708,0.000846959628,0.989372701,-0.000385083145,0.145399346,-0.000735505561,-0.000975922808,0.0105942637,-0.00157503603,0.0186830531,0.000998681743,1.69991522,0.000165503561,-0.00274312977,0.000442297959
1.43333333,4.96757399,5.00026242,5.00156589,-0.0105808306,0.000282846221,0.000818617342,0.989360377,-0.000394838325,0.145483094,-0.000746731985,-0.000970264451,0.0101576484,-0.00150027937,0.0175937734,0.00103441483,1.7003403,-1.74870669e-05,-0.00315456335,0.000544901074
1.45,4.96740231,5.00026741,5.00157917,-0.010300817,0.000299309445,0.000797040357,0.989348656,-0.000404718465,0.145562702,-0.000757248421,-0.000997095408,0.00965549435,-0.00141831112,0.0185396029,-0.000262195453,1.70094306,-3.31601446e-05,-0.00265154244,0.00016027174
1.46666667,4.96723555,5.00027233,5.00159226,-0.0100057501,0.000295136474,0.000785056622,0.98933744,-0.000414670392,0.145638829,-0.000767562375,-0.00100881424,0.00923345555,-0.00139564904,0.0174742844,0.000600480771,1.70128753,-0.00040242339,-0.00201967602,0.000267246754
1.48333333,4.96707342,5.00027741,5.00160523,-0.0097276382,0.000304693423,0.000778555272,0.989326609,-0.000425199922,0.145712304,-0.000777604499,-0.0010818748,0.00891188068,-0.0013735684,0.016920518,0.000688926969,1.70292353,0.000179560407,-0.00197146496,0.000248792209
1.5,4.96691578,5.00028267,5.00161854,-0.00945833979,0.000315658036,0.000798091629,0.989316153,-0.000435539889,0.145783192,-0.00078728658,-0.00106540501,0.00859811092,-0.00132760678,0.0161792108,0.00177289574,1.70258215,0.000257327165,-0.00305169731,0.000328257146
1.51666667,4.96676243,5.0002884,5.00163207,-0.00920083965,0.000343874548,0.000812194886,0.989306283,-0.000445602493,0.145850075,-0.000796489953,-0.00104044245,0.00811242057,-0.00126607724,0.0150284757,-0.00029092943,1.70126426,-0.000458379926,-0.0027741146,0.000341478716
1.53333333,4.96661307,5.00029405,5.00164549,-0.00896165403,0.000339244262,0.000805323212,0.989296946,-0.000456329663,0.145913317,-0.000805335573,-0.00112522259,0.00767074123,-0.00123538115,0.0161149712,0.000890581005,1.70237967,0.000334911722,-0.00205164289,0.000187882733
